YYYYMM,Value,Description,Unit
197301,75190.149,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
197302,67797.946,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
197303,67387.612,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
197304,63935.049,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
197305,64927.181,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
197306,69592.039,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
197307,75988.308,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
197308,78365.191,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
197309,71304.493,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
197310,70104.344,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
197311,69706.997,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
197312,73352.161,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
197401,73631.774,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
197402,66116.767,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
197403,67746.788,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
197404,62866.281,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
197405,67789.4,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
197406,67470.507,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
197407,76361.27,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
197408,74759.54,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
197409,65266.997,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
197410,66953.772,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
197411,66996.029,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
197412,72473.794,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
197501,74836.043,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
197502,67285.094,"Electricity Net Generation From Coal, All Sectors",Million Kilowatthours
