YYYYMM,Value,Description,Unit
197301,1313.816,Primary Energy Consumed by the Residential Sector,Trillion Btu
197302,1150.011,Primary Energy Consumed by the Residential Sector,Trillion Btu
197303,970.362,Primary Energy Consumed by the Residential Sector,Trillion Btu
197304,709.631,Primary Energy Consumed by the Residential Sector,Trillion Btu
197305,544.596,Primary Energy Consumed by the Residential Sector,Trillion Btu
197306,385.648,Primary Energy Consumed by the Residential Sector,Trillion Btu
197307,326.179,Primary Energy Consumed by the Residential Sector,Trillion Btu
197308,338.036,Primary Energy Consumed by the Residential Sector,Trillion Btu
197309,361.672,Primary Energy Consumed by the Residential Sector,Trillion Btu
197310,461.932,Primary Energy Consumed by the Residential Sector,Trillion Btu
197311,707.132,Primary Energy Consumed by the Residential Sector,Trillion Btu
197312,956.291,Primary Energy Consumed by the Residential Sector,Trillion Btu
197401,1212.515,Primary Energy Consumed by the Residential Sector,Trillion Btu
197402,1036.361,Primary Energy Consumed by the Residential Sector,Trillion Btu
197403,897.426,Primary Energy Consumed by the Residential Sector,Trillion Btu
197404,724.092,Primary Energy Consumed by the Residential Sector,Trillion Btu
197405,507.294,Primary Energy Consumed by the Residential Sector,Trillion Btu
197406,388.946,Primary Energy Consumed by the Residential Sector,Trillion Btu
197407,339.266,Primary Energy Consumed by the Residential Sector,Trillion Btu
197408,318.446,Primary Energy Consumed by the Residential Sector,Trillion Btu
197409,359.285,Primary Energy Consumed by the Residential Sector,Trillion Btu
197410,491.557,Primary Energy Consumed by the Residential Sector,Trillion Btu
197411,638.307,Primary Energy Consumed by the Residential Sector,Trillion Btu
197412,994.417,Primary Energy Consumed by the Residential Sector,Trillion Btu
197501,1125.159,Primary Energy Consumed by the Residential Sector,Trillion Btu
197502,1066.521,Primary Energy Consumed by the Residential Sector,Trillion Btu
197503,976.858,Primary Energy Consumed by the Residential Sector,Trillion Btu
197504,856.058,Primary Energy Consumed by the Residential Sector,Trillion Btu
197505,534.024,Primary Energy Consumed by the Residential Sector,Trillion Btu
197506,381.986,Primary Energy Consumed by the Residential Sector,Trillion Btu
197507,341.272,Primary Energy Consumed by the Residential Sector,Trillion Btu
197508,326.611,Primary Energy Consumed by the Residential Sector,Trillion Btu
197509,358.313,Primary Energy Consumed by the Residential Sector,Trillion Btu
197510,456.308,Primary Energy Consumed by the Residential Sector,Trillion Btu
197511,577.673,Primary Energy Consumed by the Residential Sector,Trillion Btu
197512,988.846,Primary Energy Consumed by the Residential Sector,Trillion Btu
197601,1277.212,Primary Energy Consumed by the Residential Sector,Trillion Btu
197602,1087.483,Primary Energy Consumed by the Residential Sector,Trillion Btu
197603,882.198,Primary Energy Consumed by the Residential Sector,Trillion Btu
197604,672.973,Primary Energy Consumed by the Residential Sector,Trillion Btu
197605,529.469,Primary Energy Consumed by the Residential Sector,Trillion Btu
197606,420.706,Primary Energy Consumed by the Residential Sector,Trillion Btu
197607,351.95,Primary Energy Consumed by the Residential Sector,Trillion Btu
197608,327.176,Primary Energy Consumed by the Residential Sector,Trillion Btu
197609,353.007,Primary Energy Consumed by the Residential Sector,Trillion Btu
197610,488.845,Primary Energy Consumed by the Residential Sector,Trillion Btu
197611,817.854,Primary Energy Consumed by the Residential Sector,Trillion Btu
197612,1182.262,Primary Energy Consumed by the Residential Sector,Trillion Btu
197701,1447.095,Primary Energy Consumed by the Residential Sector,Trillion Btu
197702,1229.291,Primary Energy Consumed by the Residential Sector,Trillion Btu
197703,857.068,Primary Energy Consumed by the Residential Sector,Trillion Btu
197704,631.735,Primary Energy Consumed by the Residential Sector,Trillion Btu
197705,473.686,Primary Energy Consumed by the Residential Sector,Trillion Btu
197706,384.297,Primary Energy Consumed by the Residential Sector,Trillion Btu
197707,337.28,Primary Energy Consumed by the Residential Sector,Trillion Btu
197708,331.138,Primary Energy Consumed by the Residential Sector,Trillion Btu
197709,346.875,Primary Energy Consumed by the Residential Sector,Trillion Btu
197710,476.104,Primary Energy Consumed by the Residential Sector,Trillion Btu
197711,643.115,Primary Energy Consumed by the Residential Sector,Trillion Btu
197712,1035.933,Primary Energy Consumed by the Residential Sector,Trillion Btu
197801,1205.053,Primary Energy Consumed by the Residential Sector,Trillion Btu
197802,1210.296,Primary Energy Consumed by the Residential Sector,Trillion Btu
197803,1021.338,Primary Energy Consumed by the Residential Sector,Trillion Btu
197804,670.843,Primary Energy Consumed by the Residential Sector,Trillion Btu
197805,541.681,Primary Energy Consumed by the Residential Sector,Trillion Btu
197806,391.921,Primary Energy Consumed by the Residential Sector,Trillion Btu
197807,343.489,Primary Energy Consumed by the Residential Sector,Trillion Btu
197808,354.94,Primary Energy Consumed by the Residential Sector,Trillion Btu
197809,366.276,Primary Energy Consumed by the Residential Sector,Trillion Btu
197810,480.489,Primary Energy Consumed by the Residential Sector,Trillion Btu
197811,670.532,Primary Energy Consumed by the Residential Sector,Trillion Btu
197812,1003.088,Primary Energy Consumed by the Residential Sector,Trillion Btu
